Year,Winning team,runners up,playoff qualifying team 1,Playoff qualifying team 2,Orange Cap,Orange cap runs,OC winner team,Purple Cap,Purple cap wickets,PC winner team,Final Venue,Final Date
2008,Rajasthan Royals,Chennai Super Kings,Kings XI Punjab,Delhi Capitals,Shaun Marsh,616,Kings XI Punjab,Sohail Tanvir,22,Rajasthan Royals,Mumbai,01-06-2008
2009,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai Super Kings,Delhi Capitals,Matthew Hayden,572,Chennai Super Kings,R P Singh,23,Sunrisers Hyderabad,Johannesburg,24-05-2009
2010,Chennai Super Kings,Mumbai Indians,Royal Challengers Bangalore,Sunrisers Hyderabad,Sachin Tendulkar ,618,Mumbai Indians,Pragyan Ojha,21,Sunrisers Hyderabad,Mumbai,25-04-2010
2011,Chennai Super Kings,Royal Challengers Bangalore,Mumbai Indians,Kolkata Knight Riders,Chris Gayle,608,Royal Challengers Bangalore,Lasith Malinga,28,Mumbai Indians,Chennai,28-05-2011
2012,Kolkata Knight Riders,Chennai Super Kings,Delhi Capitals,Mumbai Indians,Chris Gayle,733,Royal Challengers Bangalore,Morne Morkel,25,Delhi Capitals,Chennai,27-05-2012
2013,Mumbai Indians,Chennai Super Kings,Rajasthan Royals,Sunrisers Hyderabad,Michael Hussey,733,Mumbai Indians,Dwayne Bravo,32,Chennai Super kings,Kolkata,26-05-2013
2014,Kolkata Knight Riders,Kings XI Punjab,Chennai Super Kings,Mumbai Indians,Robin Uthappa,660,Kolkata Knight Riders,Mohit Sharma,23,Chennai Super kings,Bengaluru,01-06-2014
2015,Mumbai Indians,Chennai Super Kings,Royal Challengers Bangalore,Rajasthan Royals,David Warner,562,Sunrisers Hyderabad,Dwayne Bravo,26,Chennai Super kings,Kolkata,24-05-2015
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Gujarat Lions,Kolkata Knight Riders,Virat Kohli ,973,Royal Challengers Bangalore,Bhuvaneshwar Kumar,23,Sunrisers Hyderabad,Bengaluru,29-05-2016
2017,Mumbai Indians,Rising Pune Supergiants,Kolkata Knight Riders,Sunrisers Hyderabad,David Warner,641,Sunrisers Hyderabad,Bhuvaneshwar Kumar,26,Sunrisers Hyderabad,Hyderabad,21-05-2017
2018,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,Rajasthan Royals,Kane Williamson,735,Sunrisers Hyderabad,Andrew Tye,24,Kings XI Punjab,Mumbai,27-05-2018
2019,Mumbai Indians,Chennai Super Kings,Delhi Capitals,Sunrisers Hyderabad,David Warner,692,Sunrisers Hyderabad,Imran Tahir,26,Chennai Super kings,Hyderabad,12-05-2019
2020,Mumbai Indians,Delhi Capitals,Sunrisers Hyderabad,Royal Challengers Bangalore,KL Rahul,670,Kings XI Punjab,Kagiso Rabada,30,Delhi Capitals,Dubai,10-11-2020
2021,Chennai Super Kings,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,Ruturaj Gaikwad,635,Chennai Super Kings,Harshal Patel,32,Royal Challengers Bangalore,Dubai,15-10-2021
2022,Gujarat Titans,Rajasthan Royals,Royal Challengers Bangalore,Lucknow Super Giants,Jos Buttler,863,Rajasthan Royals,Yuzvendra Chahal,27,Rajasthan Royals,Ahmedabad,29-05-2022
2023,Chennai Super Kings,Gujarat Titans,Mumbai Indians,Lucknow Super Giants,Shubman Gill,890,Gujarat Titans,Mohammad Shami,28,Gujarat Titans,Ahmedabad,29-05-2023